키워드,제목,요약,원문링크,발행일(KST),수집시각(KST)
고용노동부,"'박나래, 남성과 차량 내 성적 행위, '직장 내 괴롭힘' 성립 가능'","- 박나래와 전 매니저 사이의 갈등에 대해 강은하 변호사가 의견을 제시했으며, 직장 내 괴롭힘의 정의와 판단 기준을 설명했다.
- 강 변호사는 차량도 업무 공간의 연장으로 볼 수 있으므로, 우월적 지위를 이용해 원치 않는 상황을 강제로 겪게 해 정신적 고통을 줬다면 직장 내 괴롭힘으로 인정될 수 있다고 말했다.
- 또한 박나래의 1인 기획사 관련 의혹에 대해, 실제로 근무하지 않은 가족에게 급여를 지급하는 것은 탈세 유형으로 보고 엄격하게 따지는 사안이라고 지적했다.",https://n.news.naver.com/mnews/article/008/0005305774?sid=102,2026-01-16 20:44,2026-01-17 08:40
고용노동부,"법원 ”윤석열, 내란 수사 피하려 경호처에 위법 지시” 유죄 판결","- 윤석열 전 대통령이 고위공직자범죄수사처의 체포영장 집행을 방해한 건 내란 사건 수사를 피하기 위해 경호처에 위법한 지시를 한 것으로 법원이 판단했다.
- 법원은 윤 전 대통령의 행위를 정당한 공권력 행사를 무력화시키고 국가의 법질서를 침해하는 중대한 범죄로 판단하여 징역 5년을 선고했다.
- 윤 전 대통령의 주장인 '내란 수사 자체가 불법'은 법원에서 일축되었으며, 비상계엄 선포 과정에서 여러 가지 위법한 행위가 있었음이 인정되었다.",https://n.news.naver.com/mnews/article/028/0002786924?sid=102,2026-01-16 19:16,2026-01-17 08:40
고용노동부,"'블랙리스트, 저성과자 퇴출' 쿠팡, 노동부가 철퇴 내리나?","- 고용노동부는 쿠팡의 노동관계법 위반 의혹에 대해 근로감독에 착수한다.
- 쿠팡본사, 쿠팡CFS, 쿠팡CLS 및 배송캠프에 대해 17명의 근로감독관을 투입하여 불법파견, 블랙리스트 작성 등 위반 의혹을 조사할 예정이다.
- 노동부는 안전보건 및 작업환경 개선권고 이행 여부도 함께 점검할 계획이다.",https://n.news.naver.com/mnews/article/002/0002423632?sid=102,2026-01-16 19:12,2026-01-17 08:40
고용노동부,재정 고갈 부추기는 간이대지급금…회수율 30% 불과,"- 최근 3년간 임금체불 규모가 약 50% 급증하면서 임금채권보장기금의 재정 건전성에 경고등이 켜졌다.
- 임금체불 규모의 증가로 대지급금 지출도 빠르게 늘고 있으며, 간이대지급금 제도가 임채기금의 재정 악화의 가장 큰 이유로 꼽히고 있다.
- 간이대지급금 지출 비중이 전체 대지급금 지출의 90%를 웃돼 재정 부담이 커질 수 있다는 지적이 나온다.",https://n.news.naver.com/mnews/article/629/0000463412?sid=101,2026-01-16 18:00,2026-01-17 08:40
고용노동부,윤석열 유죄 이유 '경호처 사병화…고의로 국무위원 심의권 침해',"- 윤석열 전 대통령에 대한 특수공무집행방해 및 직권남용 사건에서 징역 5년의 중형을 선고했다.
- 법원은 윤 전 대통령의 국무위원 심의권 침해, 비상계엄선포 문서 허위 부서, 체포영장 집행 방해 교사 등 핵심 공소사실을 유죄로 판단했다.
- 또한 공수처의 내란 우두머리 혐의 수사권을 인정하고, 윤 전 대통령이 경호처를 사병화하여 수사기관의 적법한 영장 집행을 저지하거나 증거인멸을 시도한 것으로 판단했다.",https://n.news.naver.com/mnews/article/006/0000133776?sid=100,2026-01-16 17:59,2026-01-17 08:40
고용노동부,인천 미추홀구서 40대 노동자 사망…중대재해법 조사 착수,"- 인천 미추홀구의 한 제조업 공장에서 40대 노동자가 크레인으로 인양 중이던 부속품이 떨어져 사망했다.
- 노동 당국은 중대재해처벌법 위반 여부를 조사하고 있으며, 작업중지 명령을 내리고 사고조사를 진행 중이다.
- 산업안전보건법 및 중대재해법 위반 여부를 조사하고 있으며, 중대재해법은 사업장에서 노동자가 사망하는 등 중대 사고가 발생한 경우 사업주나 경영책임자를 처벌하는 법이다.",https://n.news.naver.com/mnews/article/003/0013715552?sid=102,2026-01-16 17:56,2026-01-17 08:40
고용노동부,조국 '기초의원 2인 선거구 폐지'... 천하람 '2차 종합특검 거부권 행사...,"- 조국혁신당 대표는 중대범죄수사청 설치법 정부안 논란과 관련해 검찰개혁을 잘 마무리하기를 바라고, 기초의원 2인 선거구제 폐지를 언급했다.
- 진보당 대표는 정치개혁을 이루기 위해 지방선거 전 선거제도 개편을 건의했으며, 한국GM 사태에 대한 정부 개입을 요청했다.
- 개혁신당 대표는 2차 종합특검법에 대한 재의요구권 행사를 건의했으며, 다른 정당 대표들은 2차 종합특검법을 지지하고, 기본소득사회위원회 출범과 조세제도 개혁 등을 건의했다.",https://n.news.naver.com/mnews/article/047/0002501749?sid=100,2026-01-16 17:56,2026-01-17 08:40
고용노동부,"[에듀플러스]상명대 대학일자리플러스센터, '2025 동계 AI 비즈니스 문서...","- 상명대학교는 '2025 동계 AI 비즈니스 문서작성 전문가 과정'을 운영했으며, 이 과정은 인공지능을 활용한 비즈니스 문서 작성 역량 강화를 목적으로 진행됐다.
- 기본적인 문서 작성법 및 챗GPT를 활용한 작성법과 문서 품질 향상 기법 교육을 실습과 병행했다.
- 이번 교육은 대학생 취업 역량 강화와 함께 지역 사회 공헌 역할을 수행했으며, 상명대 대학일자리플러스센터는 앞으로도 다양한 취업 프로그램을 운영할 계획이다.",https://n.news.naver.com/mnews/article/030/0003390771?sid=102,2026-01-16 17:34,2026-01-17 08:40
고용노동부,정책 현장도 '라이브' 중계하는 중기부…중소기업 소통 넓힌다,"- 입소문이 있는 중소기업을 발굴하고 육성하는 사업'에 대한 설명도 있었으며, 이를 통해 중소기업의 경쟁력을 높이고 일자리를 창출하는 데 기여할 것으로 기대된다.",https://n.news.naver.com/mnews/article/421/0008719123?sid=101,2026-01-16 17:28,2026-01-17 08:40
고용노동부,"산업·노동 장관, 재계와 다음주 '노란봉투법' 비공개 회동","- 산업통상부와 고용노동부는 16일 공동으로 재계와의 간담회를 열어 '노란봉투법'에 대한 의견을 수렴할 계획이라고 밝혔으며, 이를 통해 법 시행 이전에 재계의 우려를 최대한 해소하고 안정적인 시행을 도모할 것으로 보인다.",https://n.news.naver.com/mnews/article/031/0000997651?sid=101,2026-01-16 16:59,2026-01-17 08:40
한국산업인력공단,산림청 '정원 분야 자격제도' 논의…전문 인력 체계적 육성,"- 산림청은 정부대전청사에서 ‘정원 분야 자격제도 도입 방안 토론회’를 개최했다.
- 토론회에서는 체계적인 인력 양성을 위한 자격제도 도입의 필요성을 공유하고 실질적인 제도 설계 방향을 모색했다.
- 자격제도가 현장 수요와 연계된 전문성 확보 수단으로 기능할 수 있도록 교육·훈련 체계와 연계한 제도 설계가 필요하다는 의견이 제시됐다.",https://n.news.naver.com/mnews/article/421/0008718863?sid=102,2026-01-16 15:53,2026-01-17 08:40
한국산업인력공단,"국립경국대 ‘AI 스테이션’, 현장 속으로 들어간다",- 강화하여 지역 산업 발전과 일자리 창출에 기여할 것으로 기대된다.,https://n.news.naver.com/mnews/article/277/0005707943?sid=102,2026-01-16 15:40,2026-01-17 08:40
한국산업인력공단,'AI 활용해 진료부터 예약까지'…새로운 병원 진료 현장 시연,"- AI를 기반으로 한 새로운 병원 시스템이 공개되어 치과 치료 과정에 자동화 방식을 도입했다.
- 박세훈 원장이 열린 '덴탈테그 세미나 2026'에서 실제 진료 과정에서의 AI 활용 가능성을 시연했다.
- 박 원장은 AI가 치과의사의 판단을 대체하는 것이 아니라 정밀하고 효율적인 진단과 치료를 도와주는 기술이라고 설명했다.",https://n.news.naver.com/mnews/article/015/0005238189?sid=101,2026-01-16 14:28,2026-01-17 08:40
한국산업인력공단,"조달청, 공공조달관리사 표준교재 발간…10월 첫 시험",- 취득을 통해 업무 능력을 향상시킬 수 있을 것으로 기대한다'고 말했다.,https://n.news.naver.com/mnews/article/003/0013714307?sid=102,2026-01-16 10:30,2026-01-17 08:40
한국산업인력공단,"국립경국대 K-하이테크플랫폼 사업단, 지역 디지털전환 '정면 돌파'","- 이번 협약은 고용노동부와 한국산업인력공단이 지원하는 'K-하이테크플랫폼 AI STATION' 사업의 일환으로, 지역 인프라를 연계해 실무 중심의 디지털·AI 교육을 강화하고 지역 사회 전반의 디지털전환을 촉진하는 데 주요 목적이 있다.",https://n.news.naver.com/mnews/article/629/0000463135?sid=102,2026-01-16 10:18,2026-01-17 08:40
